step,mse_scaled,mae_scaled,mse_unscaled,mae_unscaled
1,0.011110223829746246,0.06853215396404266,92575.62464212911,197.82481857013175
2,0.021050507202744484,0.10074186325073242,175403.1307251505,290.80111450448464
3,0.029646379873156548,0.12171850353479385,247028.69751257953,351.3520089732801
4,0.03737184405326843,0.1374828815460205,311399.86912930035,396.85925922314516
5,0.04391821473836899,0.14887429773807526,365947.41766858846,429.7416015175736
6,0.049200691282749176,0.1570044904947281,409962.8160026092,453.2085620850564
7,0.054350681602954865,0.16476334631443024,452874.52790924395,475.60558482313337
8,0.05927492305636406,0.1721523553133011,493905.04384819296,496.935122370066
9,0.06292931735515594,0.17769278585910797,524354.440242552,512.9278510404143
10,0.06546424329280853,0.1810278296470642,545479.4292862044,522.5558463252922
11,0.06786809861660004,0.18395543098449707,565508.2791927228,531.0041226228864
12,0.07027240097522736,0.18673382699489594,585540.3995108773,539.0246600816538
13,0.07225752621889114,0.18880164623260498,602082.6285986237,544.99355275844
14,0.07425430417060852,0.19142073392868042,618720.1268451266,552.5564352289674
15,0.07653338462114334,0.1948576718568802,637712.4122345066,562.4759507488985
16,0.07866258174180984,0.19790036976337433,655454.5132128567,571.2572738796983
17,0.08062266558408737,0.2009355127811432,671786.2805074466,580.0186703137771
18,0.08257057517766953,0.20427316427230835,688015.6623071474,589.6549143661375
19,0.08453737944364548,0.2073834240436554,704403.2745833411,598.6309720976543
20,0.08561950922012329,0.20876538753509521,713419.6838636064,602.6215829775184
21,0.08601503819227219,0.20897850394248962,716717.0855795593,603.23684824722
22,0.08659160882234573,0.2091769576072693,721521.2594991354,603.8102104204711
23,0.08742906898260117,0.2097075879573822,728501.6657419517,605.3421397423676
24,0.0896068885922432,0.21202558279037476,746647.3631456005,612.0310744303578
25,0.09624789655208588,0.22085243463516235,801981.3128942268,637.5097237990025
26,0.10392677038908005,0.2302112579345703,865967.301583,664.528039195557
27,0.11059834808111191,0.23719650506973267,921558.7414819393,684.6913845419828
28,0.11726871132850647,0.2446560114622116,977137.7803689401,706.2257966752161
29,0.12246891111135483,0.25029775500297546,1020467.2073827437,722.5095817563383
30,0.1260848045349121,0.25379645824432373,1050599.6365046988,732.6091589523658
31,0.1295371949672699,0.2571648061275482,1079363.655348594,742.3319911156526
32,0.1331178843975067,0.2609795928001404,1109199.9912844468,753.3422555304801
33,0.13578639924526215,0.26401636004447937,1131436.456540825,762.1107839862076
34,0.13760636746883392,0.2661140561103821,1146598.8000659705,768.1650901926552
35,0.138992577791214,0.26725995540618896,1158149.5456645251,771.471058493253
36,0.14020021259784698,0.26831701397895813,1168214.0036985376,774.5268595730532
37,0.1412244737148285,0.26940858364105225,1176744.4815932568,777.6723390143783
38,0.1425192952156067,0.2710784375667572,1187535.4501798155,782.4955508434882
39,0.14390656352043152,0.27300959825515747,1199092.9546136614,788.0712451710993
40,0.14504219591617584,0.27450770139694214,1208558.3227843682,792.3938584775632
41,0.14572864770889282,0.2755604088306427,1214276.5294594367,795.431427626389
42,0.14687007665634155,0.2773211896419525,1223792.1130136405,800.5148112014533
43,0.1488199234008789,0.2798691987991333,1240042.8813378399,807.872927741436
44,0.14942990243434906,0.28057315945625305,1245122.3616164606,809.9056782773037
45,0.14878720045089722,0.2795763313770294,1239764.598344322,807.0276453293908
46,0.14858609437942505,0.2789054811000824,1238091.6646279746,805.0849832571472
47,0.14886653423309326,0.27888816595077515,1240425.6487686706,805.0364159625831
48,0.14981038868427277,0.27924779057502747,1248289.399526968,806.0777723858366
49,0.15268246829509735,0.2816234230995178,1272218.4612626678,812.9328812424097
50,0.1553615778684616,0.28362008929252625,1294546.859456455,818.6963969223087
51,0.15785132348537445,0.2855992317199707,1315296.75764941,824.410131500107
52,0.1614619940519333,0.28941258788108826,1345376.4657248335,835.4185329975023
53,0.16408634185791016,0.291770875453949,1367242.2233231836,842.2246599026912
54,0.16525858640670776,0.2926296591758728,1377008.4349170332,844.703278875386
55,0.1666054129600525,0.2937629520893097,1388234.7657082535,847.9752981385861
56,0.16840648651123047,0.29537615180015564,1403238.584230517,852.6303736044595
57,0.16984058916568756,0.2968187630176544,1415192.065772686,856.7940934418373
58,0.17069299519062042,0.29753318428993225,1422296.0748330937,858.8594816078951
59,0.17122182250022888,0.29770568013191223,1426693.4285719825,859.3579347943125
60,0.17116554081439972,0.2971096634864807,1426228.6715174504,857.6361105078047
61,0.17071440815925598,0.29618409276008606,1422471.7976875487,854.9670440094828
62,0.170441135764122,0.29574668407440186,1420194.8728280158,853.7003025343821
63,0.17046712338924408,0.29583975672721863,1420411.3993669313,853.9702137674212
64,0.17089715600013733,0.29633915424346924,1423997.104321934,855.4132816307107
65,0.17133015394210815,0.2969939410686493,1427606.9967323549,857.3041162601038
66,0.17205670475959778,0.29791396856307983,1433662.8086155239,859.960703448935
67,0.17336376011371613,0.29937276244163513,1444549.7695006302,864.17081581556
68,0.17331013083457947,0.2988037168979645,1444099.3855080844,862.5260094065992
69,0.17220264673233032,0.29679590463638306,1434875.5659950082,856.7302629683667
70,0.1723039150238037,0.296298623085022,1435721.1332555052,855.2954675803124
71,0.1730162799358368,0.29658639430999756,1441655.744474445,856.1240411841442
72,0.1730787456035614,0.2959288954734802,1442173.5009532217,854.2333886358565
73,0.17377158999443054,0.29573217034339905,1447949.559014776,853.6623701916941
74,0.1744108647108078,0.2959006428718567,1453272.670865117,854.1471494406612
75,0.17469841241836548,0.29599496722221375,1455669.9003260254,854.4195063537962
76,0.17611567676067352,0.2976318597793579,1467482.218835318,859.1473616326494
77,0.17777018249034882,0.2995346188545227,1481269.4815140995,864.6390421350749
78,0.17860767245292664,0.3003424108028412,1488244.4715105211,866.9671148954928
79,0.17956596612930298,0.30140504240989685,1496225.0756037172,870.0348296781864
80,0.18028245866298676,0.30209213495254517,1502198.19629225,872.0197663457908
81,0.18070077896118164,0.30262109637260437,1505689.5745639321,873.5447829543502
82,0.18084223568439484,0.302598237991333,1506864.9425327491,873.481344161573
83,0.1809099316596985,0.3024534583091736,1507424.7784802543,873.0637305389292
84,0.18067926168441772,0.3019711673259735,1505503.9785118452,871.6706842766553
85,0.18046458065509796,0.3016132116317749,1503713.7306603761,870.6372526487969
86,0.18057622015476227,0.30165526270866394,1504643.4017802544,870.758152605931
87,0.18087421357631683,0.3020549416542053,1507135.8911121793,871.9116959271187
88,0.1813410520553589,0.30266639590263367,1511021.3866470777,873.6803785793071
89,0.1813574582338333,0.30264517664909363,1511156.671541368,873.6142152535211
90,0.18128477036952972,0.3023267388343811,1510548.446216702,872.6951357938425
91,0.18184100091457367,0.3028956353664398,1515184.5259250216,874.3357856257363
92,0.18187451362609863,0.3026569187641144,1515462.102679153,873.6483774350487
93,0.1812090277671814,0.301675409078598,1509920.496347823,870.8161338018125
