Step,train_loss,val_loss,val_loss
1,0.22794200000000001,0.2858970000000000,0.2858970000000000
2,0.20662200000000000,0.24267100000000000,0.24267100000000000
3,0.15980500000000000,0.33908899999999997,0.33908899999999997
4,0.1616340000000000,0.22717399999999999,0.22717399999999999
5,0.15158500000000000,0.3299840000000000,0.3299840000000000
6,0.15431400000000001,0.24316900000000000,0.24316900000000000
7,0.15191900000000000,0.1968570000000000,0.1968570000000000
8,0.14895600000000001,0.31311200000000000,0.31311200000000000
9,0.1519610000000000,0.19311900000000001,0.19311900000000001
10,0.15251200000000001,0.3536000000000000,0.3536000000000000
11,0.1471270000000000,0.28095199999999998,0.28095199999999998
12,0.1465310000000000,0.26224500000000001,0.26224500000000001
13,0.15329400000000001,0.24628400000000000,0.24628400000000000
14,0.1419120000000000,0.1635840000000000,0.1635840000000000
15,0.13382100000000000,0.17453900000000000,0.17453900000000000
16,0.13239100000000001,0.15106200000000000,0.15106200000000000
17,0.13250200000000001,0.20241799999999999,0.20241799999999999
18,0.1324750000000000,0.17512800000000001,0.17512800000000001
19,0.13145399999999999,0.21725100000000000,0.21725100000000000
20,0.13180900000000001,0.1542440000000000,0.1542440000000000
21,0.12403400000000001,0.0901000000000000,0.0901000000000000
22,0.12112700000000000,0.08560300000000000,0.08560300000000000
23,0.11982700000000000,0.08611700000000000,0.08611700000000000
24,0.12006100000000000,0.08676600000000000,0.08676600000000000
25,0.11982000000000000,0.09083400000000000,0.09083400000000000
26,0.11967600000000000,0.08629600000000000,0.08629600000000000
27,0.11372100000000000,0.08023600000000000,0.08023600000000000
28,0.11150400000000001,0.07954899999999999,0.07954899999999999
29,0.11112000000000000,0.07904000000000000,0.07904000000000000
30,0.11056600000000000,0.07850100000000000,0.07850100000000000
31,0.11039599999999999,0.07822000000000000,0.07822000000000000
32,0.10995099999999999,0.07753500000000001,0.07753500000000001
33,0.1091640000000000,0.07722400000000000,0.07722400000000000
34,0.108516000000000,0.07680500000000000,0.07680500000000000
35,0.10795700000000000,0.07547700000000000,0.07547700000000000
36,0.10690700000000000,0.07467200000000000,0.07467200000000000
37,0.10568300000000000,0.07370699999999999,0.07370699999999999
38,0.10479800000000000,0.07290199999999999,0.07290199999999999
39,0.10382200000000000,0.07232100000000000,0.07232100000000000
