step,mse_scaled,mae_scaled,mse_unscaled,mae_unscaled
60,0.09306541085243225,0.20923371613025665,215990.7039625252,318.75270857382077
120,0.09473353624343872,0.21485820412635803,219862.6851195928,327.32216837717215
180,0.09645871818065643,0.2240854948759079,223866.55729420937,341.3784079061066
240,0.10559302568435669,0.23290115594863892,245065.5736397937,354.81080207243133
overall,0.09144971519708633,0.20969170331954956,212241.09848457805,319.4514379319087
