step,mse_scaled,mae_scaled,mse_unscaled,mae_unscaled
60,0.09532405436038971,0.2120945304632187,221233.28002907892,323.11218178068447
120,0.09833500534296036,0.21945050358772278,228221.01720526998,334.3178828034743
180,0.10199539363384247,0.23013612627983093,236716.2561561655,350.5976268223345
240,0.10952645540237427,0.23922932147979736,254194.56046683117,364.4501876516011
overall,0.09500092267990112,0.21447494626045227,220482.75663478748,326.7383449976616
