Step,train_loss,val_loss
1,0.40971400000000002,0.5980910000000000
2,0.45248300000000002,0.656581000000000
3,0.3323920000000000,0.5004900000000000
4,0.33796300000000001,0.5865350000000000
5,0.3302150000000000,0.5535920000000000
6,0.2708010000000000,0.5189330000000000
7,0.3284380000000000,0.4335270000000000
8,0.2983190000000000,0.5384500000000000
9,0.3073460000000000,0.4387210000000000
10,0.292729000000000,0.6275990000000000
11,0.3006480000000000,0.38748199999999999
12,0.274818000000000,0.604679000000000
13,0.2937330000000000,0.4655750000000000
14,0.2861910000000000,0.5313800000000000
15,0.3047730000000000,0.4961070000000000
16,0.2815710000000000,0.3357310000000000
17,0.2517140000000000,0.3284770000000000
18,0.23860000000000001,0.32245099999999999
19,0.2305420000000000,0.3148680000000000
20,0.221460000000000,0.28907600000000000
21,0.21757099999999999,0.3113390000000000
22,0.21018800000000001,0.31023899999999999
23,0.20345800000000000,0.3431530000000000
24,0.1990050000000000,0.3241190000000000
25,0.20448300000000000,0.24130499999999999
26,0.18873999999999999,0.24022600000000000
27,0.18507899999999999,0.23673900000000000
28,0.18121899999999999,0.23539900000000000
29,0.1799380000000000,0.23055200000000001
30,0.17772700000000000,0.22315199999999999
31,0.17366100000000001,0.2230280000000000
32,0.16891100000000001,0.22364000000000001
33,0.16728000000000001,0.21983200000000000
34,0.1629600000000000,0.21460099999999999
35,0.1616980000000000,0.21348300000000001
36,0.15767999999999999,0.21311700000000000
37,0.15604000000000001,0.2114820000000000
38,0.15188399999999999,0.21084800000000001
39,0.1493660000000000,0.21136600000000000
40,0.14591000000000001,0.21042200000000000
41,0.14376500000000000,0.20953800000000000
42,0.13933400000000001,0.21035400000000001
43,0.13948700000000000,0.21097900000000000
44,0.13429300000000000,0.21339400000000000
45,0.13320799999999999,0.21079600000000001
46,0.13078200000000001,0.2013130000000000
47,0.12376600000000000,0.20236100000000001
48,0.11897800000000000,0.20386299999999999
49,0.1164390000000000,0.20321200000000000
50,0.11299600000000000,0.2033200000000000
51,0.10912700000000000,0.20423700000000000
52,0.10632900000000001,0.20392500000000000
53,0.10602300000000001,0.2037840000000000
54,0.10446500000000000,0.203281000000000
55,0.10101499999999999,0.20314099999999999
56,0.10044000000000000,0.20341500000000001

