Step,train_loss,val_loss
1,0.4480450000000000,0.5103050000000000
2,0.34552699999999997,0.44876100000000002
3,0.33695700000000001,0.47087800000000002
4,0.31353100000000000,0.3663600000000000
5,0.3033780000000000,0.5226310000000000
6,0.28369899999999998,0.4798080000000000
7,0.2729040000000000,0.3717370000000000
8,0.2699830000000000,0.524274000000000
9,0.25731100000000001,0.32287300000000002
10,0.23143200000000000,0.30036900000000000
11,0.22699800000000001,0.29259600000000002
12,0.2209020000000000,0.29000199999999998
13,0.21787699999999999,0.28550900000000001
14,0.21352299999999999,0.2833820000000000
15,0.21099699999999999,0.26938299999999998
16,0.20727100000000001,0.26617499999999999
17,0.20059900000000000,0.26507799999999998
18,0.19655800000000001,0.25688600000000000
19,0.19665700000000000,0.25446600000000003
20,0.19013500000000000,0.2559340000000000
21,0.18584400000000001,0.2516450000000000
22,0.181693000000000,0.24502800000000000
23,0.1839040000000000,0.24893000000000001
24,0.17905900000000000,0.3144640000000000
25,0.17444999999999999,0.2546030000000000
26,0.17474899999999999,0.25859399999999999
27,0.1888430000000000,0.20197200000000001
28,0.16250300000000001,0.19774700000000001
29,0.15941900000000001,0.1962850000000000
30,0.15443000000000001,0.19539400000000001
31,0.1516350000000000,0.1951900000000000
32,0.14677599999999999,0.19536200000000001
33,0.14593800000000001,0.19428100000000001
34,0.1429270000000000,0.19609699999999999
35,0.14013200000000001,0.1964130000000000
36,0.1373300000000000,0.19710700000000000
37,0.13405700000000001,0.19694800000000001
38,0.13070699999999999,0.21401700000000001
39,0.12503200000000000,0.20894900000000000
40,0.12273199999999999,0.20795000000000000
41,0.12051199999999999,0.2067830000000000
42,0.11578500000000000,0.207392000000000
43,0.11444600000000001,0.20339499999999999

