Step,train_loss,val_loss
1,0.2766690000000000,0.3209040000000000
2,0.25453999999999999,0.2992990000000000
3,0.24142600000000000,0.30605800000000000
4,0.23290500000000000,0.33225100000000002
5,0.23016200000000001,0.29595399999999999
6,0.23371600000000001,0.31718600000000002
7,0.22979300000000000,0.329754000000000
8,0.23010200000000000,0.32250600000000001
9,0.22561800000000001,0.30011199999999999
10,0.22018699999999999,0.2464430000000000
11,0.21557399999999999,0.2589150000000000
12,0.2131920000000000,0.2362480000000000
13,0.21106300000000000,0.23622399999999999
14,0.20690600000000001,0.23524200000000001
15,0.2050000000000000,0.23300699999999999
16,0.19948199999999999,0.23697199999999999
17,0.19599000000000000,0.24207400000000001
18,0.19367200000000001,0.24759900000000001
19,0.19120599999999999,0.23635500000000001
20,0.1814090000000000,0.21039200000000000
21,0.1789880000000000,0.2106020000000000
22,0.17751100000000000,0.21293100000000001
23,0.17707500000000001,0.2112920000000000
24,0.17556900000000000,0.21523999999999999
25,0.1711890000000000,0.19868800000000000
26,0.16840800000000000,0.1972270000000000
27,0.16810600000000001,0.19628300000000001
28,0.16742399999999999,0.19479099999999999
29,0.1666810000000000,0.19540900000000000
30,0.16604200000000000,0.19541200000000000
31,0.16561300000000001,0.19754700000000
32,0.16452000000000000,0.1940800000000000
33,0.16397000000000000,0.19381599999999999
34,0.16347400000000001,0.19488500000000000
35,0.16279500000000000,0.1921510000000000
36,0.16242699999999999,0.19251499999999999
37,0.16190700000000000,0.19400700000000001
38,0.16081300000000001,0.19481200000000001
39,0.15995799999999999,0.19374200000000000
40,0.15812499999999999,0.20360400000000001
41,0.15761700000000001,0.20217099999999999
42,0.15680500000000000,0.20079900000000001
43,0.15667800000000001,0.20119799999999999
44,0.15595999999999999,0.20302600000000001
45,0.15531400000000001,0.20245299999999999

