Step,train_loss,val_loss
1,0.28067799999999998,0.30664400000000003
2,0.23737300000000000,0.32911200000000002
3,0.22958500000000001,0.2991730000000000
4,0.23431500000000000,0.3178160000000000
5,0.22818300000000000,0.29654700000000001
6,0.2325020000000000,0.3067200000000000
7,0.2257620000000000,0.27498400000000001
8,0.22183500000000000,0.26695000000000002
9,0.22072400000000000,0.27651999999999999
10,0.2203570000000000,0.26458999999999999
11,0.21848999999999999,0.28037200000000001
12,0.21639200000000000,0.27055899999999999
13,0.21474799999999999,0.28736899999999999
14,0.2154700000000000,0.2766930000000000
15,0.20530100000000001,0.22153500000000001
16,0.20029300000000000,0.22700100000000001
17,0.19982100000000000,0.23424400000000001
18,0.19969100000000001,0.22173599999999999
19,0.19732700000000000,0.22380900000000001
20,0.1858900000000000,0.2087300000000000
21,0.18307799999999999,0.2110260000000000
22,0.1814000000000000,0.21043500000000001
23,0.18004200000000001,0.21214900000000000
24,0.17795900000000001,0.2072390000000000
25,0.17654800000000001,0.21121100000000001
26,0.17560200000000001,0.2103780000000000
27,0.17438200000000001,0.2064430000000000
28,0.17252400000000001,0.21088399999999999
29,0.17202000000000001,0.21384900000000001
30,0.17171700000000001,0.20870000000000000
31,0.1702330000000000,0.20716599999999999
32,0.16614499999999999,0.20679200000000000
33,0.16385200000000000,0.19757900000000000
34,0.16422600000000001,0.20206399999999999
35,0.16338800000000001,0.19772200000000001
36,0.16335100000000000,0.199443000000000
37,0.16272800000000001,0.20006599999999999
38,0.16044100000000000,0.20503800000000000
39,0.16015399999999999,0.2028640000000000
40,0.15946700000000000,0.20109500000000000
41,0.1590490000000000,0.2010970000000000
42,0.15851799999999999,0.1988480000000000
43,0.15777600000000000,0.19914299999999999

