Step,train_loss,val_loss
1,0.2861620000000000,0.30543999999999999
2,0.23572899999999999,0.3084240000000000
3,0.22991300000000001,0.2927820000000000
4,0.22595599999999999,0.30884299999999998
5,0.22329199999999999,0.2929230000000000
6,0.22250100000000000,0.30172700000000002
7,0.22342100000000001,0.30144500000000002
8,0.2163300000000000,0.23941599999999999
9,0.21057000000000001,0.2516620000000000
10,0.21002199999999999,0.24329300000000001
11,0.20588799999999999,0.24335100000000001
12,0.20404600000000001,0.23757400000000001
13,0.19728000000000001,0.23310300000000000
14,0.19274200000000000,0.24277000000000001
15,0.1891130000000000,0.23174300000000000
16,0.18913099999999999,0.22280800000000001
17,0.18586700000000000,0.23005300000000001
18,0.1849080000000000,0.2160860000000000
19,0.18331500000000001,0.23239599999999999
20,0.18302800000000000,0.21694800000000000
21,0.18145000000000000,0.21781600000000001
22,0.18090600000000001,0.20579300000000000
23,0.17947299999999999,0.22405100000000000
24,0.17871799999999999,0.22405600000000001
25,0.1777720000000000,0.21427599999999999
26,0.17669499999999999,0.22436600000000001
27,0.16856199999999999,0.21481100000000000
28,0.16729100000000000,0.19620799999999999
29,0.16654800000000000,0.19981099999999999
30,0.166363000000000,0.20069600000000001
31,0.16594100000000001,0.20793600000000001
32,0.1654730000000000,0.21229400000000001
33,0.16156699999999999,0.2094630000000000
34,0.16034799999999999,0.1972960000000000
35,0.160557000000000,0.2045180000000000
36,0.16046400000000000,0.20154800000000000
37,0.15887499999999999,0.20921500000000001
38,0.15838500000000000,0.20578099999999999

