step,mse_scaled,mae_scaled,mse_unscaled,mae_unscaled
60,0.09444113820791245,0.20952454209327698,219183.76292376092,319.19643208846264
120,0.0983201116323471,0.21649831533432007,228186.1682199709,329.82115929090645
180,0.10179557651281357,0.22795933485031128,236251.94440868593,347.28048619450334
240,0.11134782433509827,0.23875810205936432,258421.4787665196,363.7317577069991
overall,0.09425175189971924,0.21108797192573547,218744.18265952333,321.57835095272395
