step,mse_scaled,mae_scaled,mse_unscaled,mae_unscaled
60,0.1407860666513443,0.28493624925613403,2421221.415469762,1181.6408843279014
120,0.19428060948848724,0.3589504063129425,3341214.463702004,1488.5794859623663
180,0.3294495642185211,0.47758859395980835,5665833.359859303,1980.5754093332146
240,0.39358481764793396,0.5252673029899597,6768830.821433112,2178.3005592899603
overall,0.2227851003408432,0.3670910596847534,3831432.874329064,1522.3385955234703
