Step,train_loss,val_loss
1,0.4466150000000000,0.5158840000000000
2,0.3262680000000000,0.6894860000000000
3,0.36452499999999999,0.46724300000000002
4,0.3490670000000000,0.3693010000000000
5,0.34265000000000001,0.48153600000000002
6,0.3122620000000000,0.3788160000000000
7,0.30686700000000000,0.4069140000000000
8,0.2993910000000000,0.5132980000000000
9,0.2742600000000000,0.3490090000000000
10,0.24448900000000001,0.3212570000000000
11,0.23696300000000001,0.30851800000000001
12,0.22880900000000001,0.2981070000000000
13,0.22322500000000001,0.29478300000000002
14,0.22030400000000000,0.28363500000000003
15,0.21534300000000001,0.2814680000000000
16,0.21427399999999999,0.27751599999999998
17,0.21023200000000000,0.26851000000000003
18,0.2217590000000000,0.2765560000000000
19,0.2075400000000000,0.27863199999999999
20,0.20340200000000000,0.2827910000000000
21,0.20401700000000000,0.2744510000000000
22,0.1996700000000000,0.22848700000000000
23,0.192472000000000,0.23166500000000001
24,0.19220000000000001,0.23222699999999999
25,0.18875300000000000,0.23199700000000001
26,0.1878820000000000,0.22998299999999999
27,0.19162499999999999,0.2125080000000000
28,0.1802390000000000,0.21231600000000000
29,0.17726200000000000,0.21174599999999999
30,0.17443200000000000,0.21140800000000001
31,0.1702510000000000,0.21104700000000001
32,0.16786699999999999,0.20780199999999999
33,0.1653730000000000,0.20638400000000001
34,0.16089800000000001,0.20493800000000001
35,0.15876299999999999,0.2040970000000000
36,0.1564960000000000,0.20199700000000001
37,0.15514000000000000,0.2009790000000000
38,0.15322800000000000,0.20146900000000001
39,0.15212700000000001,0.20264900000000000
40,0.15079999999999999,0.20167399999999999
41,0.14872099999999999,0.20135800000000001
42,0.1442690000000000,0.20668600000000001
43,0.1419290000000000,0.20796000000000001
44,0.14114800000000000,0.2080540000000000
45,0.14010400000000001,0.20793100000000000
46,0.1361430000000000,0.2093960000000000
47,0.13697500000000001,0.2094460000000000

