Step,train_loss,val_loss
1,0.32238099999999997,1.1835249999999999
2,0.34174800000000000,0.5843800000000000
3,0.2865270000000000,0.8924410000000000
4,0.3103480000000000,0.5509070000000000
5,0.2905300000000000,1.286292000000000
6,0.3131450000000000,1.0149150000000000
7,0.2803570000000000,0.7058290000000000
8,0.2696370000000000,0.6716870000000000
9,0.30112499999999998,0.39477499999999999
10,0.275174000000000,0.39706399999999997
11,0.2617120000000000,0.3886840000000000
12,0.2556120000000000,0.3850050000000000
13,0.2644250000000000,0.36108299999999999
14,0.24876599999999999,0.537184000000000
15,0.28997099999999998,0.38287900000000002
16,0.26476800000000000,0.5406200000000000
17,0.26122000000000001,0.3709260000000000
18,0.24602499999999999,0.2608330000000000
19,0.22542899999999999,0.26182000000000000
20,0.2244390000000000,0.2672030000000000
21,0.22448299999999999,0.27642800000000001
22,0.2171860000000000,0.2767460000000000
23,0.21947700000000001,0.2323540000000000
24,0.20219100000000001,0.23150799999999999
25,0.19666700000000001,0.23015400000000000
26,0.1922170000000000,0.22846600000000000
27,0.18912499999999999,0.22647700000000001
28,0.1862680000000000,0.2228910000000000
29,0.18203500000000000,0.2222960000000000
30,0.1793560000000000,0.219233000000000
31,0.1789140000000000,0.21816800000000000
32,0.1757280000000000,0.21672600000000000
33,0.17293100000000000,0.21177799999999999
34,0.16905400000000001,0.21348800000000001
35,0.16689599999999999,0.2127050000000000
36,0.16674600000000001,0.2077860000000000
37,0.1624070000000000,0.20465000000000000
38,0.16071199999999999,0.203162000000000
39,0.15780700000000000,0.20147200000000001
40,0.1559440000000000,0.20189499999999999
41,0.15508100000000000,0.20020499999999999
42,0.15117000000000000,0.19827000000000000
43,0.14984900000000001,0.19831299999999999
44,0.14720400000000000,0.1963730000000000
45,0.14551300000000000,0.19605400000000001
46,0.14318900000000001,0.1948640000000000
47,0.14082600000000001,0.19474600000000000
48,0.1383770000000000,0.19614799999999999
49,0.13632600000000000,0.19621700000000000
50,0.13363400000000000,0.19626900000000000
51,0.13182400000000000,0.19613800000000001
52,0.12837299999999999,0.19965800000000000
53,0.12266100000000001,0.19832900000000001
54,0.12026299999999999,0.1969690000000000
55,0.1178740000000000,0.19815700000000000
56,0.11390100000000000,0.199288000000000
57,0.11185600000000000,0.19819400000000001

